Precipitation_mm,Min_Temp_C,Max_Temp_C
0.0,8.5,24.7
0.0,9.0,25.2
0.0,7.8,25.5
0.0,8.6,24.8
0.0,8.3,24.0
0.0,8.3,23.9
0.0,7.0,23.2
0.0,6.0,25.0
0.0,6.2,25.6
0.0,6.0,23.8
0.0,5.5,23.0
0.0,5.3,22.8
0.0,3.2,23.0
0.0,4.2,21.5
0.0,5.0,20.4
0.0,5.2,20.4
0.0,7.4,20.3
0.0,5.0,20.8
0.0,4.6,20.2
0.0,7.0,19.9
0.0,7.5,19.6
0.0,5.0,19.2
0.0,4.5,18.0
0.0,5.5,19.2
0.0,4.0,20.4
0.0,3.7,21.0
0.0,3.3,22.0
0.0,5.3,18.4
0.0,2.7,22.0
0.0,3.0,21.1
0.0,3.2,21.4
0.0,3.5,21.6
0.0,2.5,21.6
0.0,2.3,20.9
0.0,2.2,23.5
0.0,1.6,24.0
0.0,2.0,23.0
0.0,1.6,22.0
0.0,1.6,19.6
0.0,2.3,21.8
0.0,2.5,20.2
0.0,3.4,18.2
0.0,1.0,19.0
0.0,1.0,18.5
0.0,-0.1,20.1
0.0,-0.5,22.1
0.0,0.0,21.7
0.0,0.6,21.5
0.0,0.5,21.2
0.0,1.2,20.8
0.0,1.1,21.0
0.0,1.6,21.0
0.0,1.6,21.3
0.0,1.2,22.3
0.0,0.3,20.6
0.0,3.0,19.8
0.0,5.2,21.0
0.0,2.9,21.5
0.0,2.5,23.6
10.2,8.6,12.0
10.2,4.5,16.2
0.0,5.9,13.5
0.0,5.7,22.0
0.0,4.8,12.7
0.4,4.2,19.7
0.0,2.2,18.4
0.0,1.5,20.6
0.0,-0.5,20.0
0.0,0.0,18.6
0.0,2.6,18.4
0.0,2.0,13.2
10.3,7.0,9.0
2.7,6.2,15.5
0.0,5.6,19.7
0.0,1.5,19.9
0.0,2.5,19.0
0.0,3.2,20.7
0.0,5.0,22.0
0.0,4.8,21.0
0.0,5.5,20.8
0.0,3.4,21.5
0.0,5.0,24.8
0.0,9.1,18.0
0.0,5.6,24.1
0.0,4.0,24.4
0.0,5.6,18.4
15.0,8.0,23.3
0.0,3.7,24.0
0.0,3.6,23.8
0.0,4.5,24.2
0.0,5.6,24.1
0.0,6.4,24.0
0.0,6.5,24.2
0.0,5.3,24.5
0.0,6.0,23.9
0.0,7.1,24.0
0.0,6.0,24.9
0.0,6.4,25.0
0.0,6.2,28.2
7.0,6.8,15.0
7.9,4.8,21.3
0.0,4.7,22.7
